# fm1_exp_050_120_pp.dat
#
# Z = 50, A = 120
# No. of entries: 33
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength fm1 in MeV^-3
# Col 4: uncertainty dfm1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: S. Bassauer, P. von Neumann-Cosel
#   E          dE      f           df
     6.000     0.200   1.795E-25   1.735E-26
     6.200     0.200   8.257E-10   9.112E-11
     6.400     0.200   1.038E-09   1.109E-10
     6.600     0.200   1.727E-09   2.764E-10
     6.800     0.200   2.902E-09   5.981E-10
     7.000     0.200   5.190E-09   1.158E-09
     7.200     0.200   4.328E-09   7.956E-10
     7.400     0.200   5.404E-09   1.014E-09
     7.600     0.200   4.490E-09   7.989E-10
     7.800     0.200   3.392E-09   5.831E-10
     8.000     0.200   5.670E-09   1.138E-09
     8.200     0.200   4.348E-09   8.296E-10
     8.400     0.200   6.966E-09   1.610E-09
     8.600     0.200   1.124E-08   2.560E-09
     8.800     0.200   1.107E-08   2.762E-09
     9.000     0.200   9.991E-09   1.861E-09
     9.200     0.200   1.342E-08   2.692E-09
     9.400     0.200   1.326E-08   3.135E-09
     9.600     0.200   1.542E-08   4.040E-09
     9.800     0.200   1.606E-08   4.172E-09
    10.000     0.200   1.627E-08   4.342E-09
    10.200     0.200   1.715E-08   4.681E-09
    10.400     0.200   1.474E-08   4.307E-09
    10.600     0.200   1.288E-08   2.867E-09
    10.800     0.200   1.233E-08   2.648E-09
    11.000     0.200   1.503E-08   3.675E-09
    11.200     0.200   1.049E-08   2.575E-09
    11.400     0.200   1.551E-08   3.484E-09
    11.600     0.200   1.591E-08   3.772E-09
    11.800     0.200   1.273E-08   3.316E-09
    12.000     0.200   8.487E-09   5.007E-09
    12.200     0.200   8.102E-09   4.226E-09
    12.400     0.200   9.346E-10   1.560E-10
